specimen_no,record_type,flags,occurrence_no,reid_no,collection_no,specimen_id,is_type,specelt_no,specimen_side,specimen_part,specimen_sex,n_measured,measurement_source,magnification,comments,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
13134,spm,,489976,19690,49415,MUCPv 323,holotype,,right,pubis,,1,text,,,Futalognkosaurus dukei,species,109005,,Futalognkosaurus dukei,species,109005,93.9,86.3,25429,-68.724556,-38.453194,AR,Neuquén,,estimated from map,6,outcrop,"90-95 km NW of Neuquén, N coast of Lago Barreales"
18568,spm,,475222,0,47153,HMN dd,,,,femur,,1,table,,,Elaphrosaurus bambergi,species,55481,,Elaphrosaurus bambergi,species,55481,152.2,149.2,34423,39.228348,-9.681635,TZ,Lindi,,based on nearby landmark,6,small collection,"2.5 km N of Tendaguru, near Kindope, near quarry Y and N of quarry ST (EH)"
18569,spm,,475222,0,47153,HMN dd,,,,tibia,,1,table,,,Elaphrosaurus bambergi,species,55481,,Elaphrosaurus bambergi,species,55481,152.2,149.2,34423,39.228348,-9.681635,TZ,Lindi,,based on nearby landmark,6,small collection,"2.5 km N of Tendaguru, near Kindope, near quarry Y and N of quarry ST (EH)"
18592,spm,,485130,0,48570,ANSP 9995,holotype,,right,fibula,,1,table,,"""preserved"" length 23 inches (= 584 mm) according to Cope 1866",Laelaps aquilunguis,species,53032,recombined as,Dryptosaurus aquilunguis,species,53032,72.1,66,34423,-75.160278,39.732777,US,New Jersey,Gloucestershire,based on nearby landmark,seconds,small collection,"West Jersey Marl Company's Pit, about 2 miles S (also listed as 1.5 mi. E) of Barnsboro (=Barnesboro), Mantua Township, Gloucester Co., NJ"
18593,spm,,485130,0,48570,ANSP 9995,holotype,,right,tibia,,1,table,,length 30.75 inches (= 781 mm) and circumference 10.5 inches (= 267 mm) according to Cope 1866,Laelaps aquilunguis,species,53032,recombined as,Dryptosaurus aquilunguis,species,53032,72.1,66,34423,-75.160278,39.732777,US,New Jersey,Gloucestershire,based on nearby landmark,seconds,small collection,"West Jersey Marl Company's Pit, about 2 miles S (also listed as 1.5 mi. E) of Barnsboro (=Barnesboro), Mantua Township, Gloucester Co., NJ"
18594,spm,,536124,13789,22648,AMNH 587,,,,fibula,,1,table,,,Tanycolagreus topwilsoni,species,68260,,Tanycolagreus topwilsoni,species,68260,154.8,145,34423,-106.048615,42.017776,US,Wyoming,Albany,unpublished field data,seconds,outcrop,"coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming"
18595,spm,,536124,13789,22648,AMNH 587,,,,tibia,,1,table,,,Tanycolagreus topwilsoni,species,68260,,Tanycolagreus topwilsoni,species,68260,154.8,145,34423,-106.048615,42.017776,US,Wyoming,Albany,unpublished field data,seconds,outcrop,"coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming"
18596,spm,,536124,13789,22648,AMNH 587,,,,fibula,,1,table,,,Tanycolagreus topwilsoni,species,68260,,Tanycolagreus topwilsoni,species,68260,154.8,145,34423,-106.048615,42.017776,US,Wyoming,Albany,unpublished field data,seconds,outcrop,"coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming"
18597,spm,,513562,0,52008,SPS GIN AN MPR 100/300,holotype,,,femur,,1,table,,,Anserimimus planinychus,species,66672,,Anserimimus planinychus,species,66672,72.1,66,34423,99.599998,43.540001,MN,Omnogov,,based on nearby landmark,2,small collection,"Bugin Tsav (= Bügin Tsav), SW Mongolia"
18598,spm,,513562,0,52008,SPS GIN AN MPR 100/300,holotype,,,tibia,,1,table,,,Anserimimus planinychus,species,66672,,Anserimimus planinychus,species,66672,72.1,66,34423,99.599998,43.540001,MN,Omnogov,,based on nearby landmark,2,small collection,"Bugin Tsav (= Bügin Tsav), SW Mongolia"
18599,spm,,513562,0,52008,SPS GIN AN MPR 100/300,holotype,,,fibula,,1,table,,,Anserimimus planinychus,species,66672,,Anserimimus planinychus,species,66672,72.1,66,34423,99.599998,43.540001,MN,Omnogov,,based on nearby landmark,2,small collection,"Bugin Tsav (= Bügin Tsav), SW Mongolia"
18600,spm,,487439,12435,48932,AMNH 21800,,,,femur,,1,table,,width based on Smith and Galton 1990; length originally given by them as 314,Ornithomimus asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.6,72.1,34423,112.427498,43.83139,CN,Nei Mongol,,stated in text,seconds,small collection,8 miles E of Iren Dabasu (= Ehrlien)
18601,spm,,487441,12437,48933,AMNH 6570,,,,femur,,1,table,,,Ornithomimus asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.6,72.1,34423,112.183334,43.741669,CN,Nei Mongol,,based on nearby landmark,seconds,outcrop,"Erhlien, Iren Dabasu, 8 miles E (S?) of Telegraph Station"
18602,spm,,487439,12435,48932,AMNH 21801,,,,tibia,,1,table,,width based on Smith and Galton 1990; length originally given by them as 401,Ornithomimus asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.6,72.1,34423,112.427498,43.83139,CN,Nei Mongol,,stated in text,seconds,small collection,8 miles E of Iren Dabasu (= Ehrlien)
18603,spm,,487439,12435,48932,AMNH 6576,,,,tibia,,1,table,,,Ornithomimus asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.6,72.1,34423,112.427498,43.83139,CN,Nei Mongol,,stated in text,seconds,small collection,8 miles E of Iren Dabasu (= Ehrlien)
18604,spm,,487441,12437,48933,AMNH 6570,,,,tibia,,1,table,,,Ornithomimus asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.6,72.1,34423,112.183334,43.741669,CN,Nei Mongol,,based on nearby landmark,seconds,outcrop,"Erhlien, Iren Dabasu, 8 miles E (S?) of Telegraph Station"
18607,spm,,517533,33991,52468,AMNH 5201,,,,femur,,1,table,,,Dromiceiomimus brevitertius,species,66907,,Dromiceiomimus brevitertius,species,57273,72.1,66,34423,-112.958298,51.935501,CA,Alberta,,stated in text,4,outcrop,"section 19?, T34, R21, W 4th meridian; approx. 9 m above W bank of Red Deer River, opposite mouth of Big Valley"
18608,spm,,517533,33991,52468,AMNH 5201,,,,tibia,,1,table,,,Dromiceiomimus brevitertius,species,66907,,Dromiceiomimus brevitertius,species,57273,72.1,66,34423,-112.958298,51.935501,CA,Alberta,,stated in text,4,outcrop,"section 19?, T34, R21, W 4th meridian; approx. 9 m above W bank of Red Deer River, opposite mouth of Big Valley"
18621,spm,,517542,0,52476,Amer. Mus. No. 5339,,,,femur,,1,table,,"length said to be 480 mm by Osborn 1916, who gives width (""antero-posterior diameter of shaft"" at ""mid-length"")",Struthiomimus altus,species,57266,,Struthiomimus altus,species,57268,83.6,72.1,34423,-111.620003,50.599998,CA,Alberta,,based on nearby landmark,2,outcrop,"125 ft above R bank, Little Sandhill Creek, Red Deer River, 12 mi below Steveville"
18622,spm,,517542,0,52476,Amer. Mus. No. 5339,,,,fibula,,1,table,,,Struthiomimus altus,species,57266,,Struthiomimus altus,species,57268,83.6,72.1,34423,-111.620003,50.599998,CA,Alberta,,based on nearby landmark,2,outcrop,"125 ft above R bank, Little Sandhill Creek, Red Deer River, 12 mi below Steveville"
18623,spm,,517539,0,52473,AMNH 5385,,,,femur,,1,table,,,Struthiomimus altus,species,57266,,Struthiomimus altus,species,57268,83.6,72.1,34423,-111.620003,50.599998,CA,Alberta,,based on nearby landmark,2,small collection,"250 ft above river, N fork, Little Sandhill Creek, Red Deer River, 12 mi below Steveville"
18624,spm,,517539,0,52473,AMNH 5385,,,,tibia,,1,table,,,Struthiomimus altus,species,57266,,Struthiomimus altus,species,57268,83.6,72.1,34423,-111.620003,50.599998,CA,Alberta,,based on nearby landmark,2,small collection,"250 ft above river, N fork, Little Sandhill Creek, Red Deer River, 12 mi below Steveville"
18625,spm,,489802,0,49356,AMNH 6554,,,,femur,,1,table,,,Alectrosaurus olseni,species,57253,,Alectrosaurus olseni,species,57253,83.6,72.1,34423,112.01667,43.733334,CN,Nei Mongol,,estimated from map,minutes,outcrop,"S and W of ruins of telegraph station, about 1 km S of Erhlien; 200 yds S of camp at Iren Dabasu telegraph station; 2 specimens found 100 feet apart"
18626,spm,,489802,0,49356,AMNH 6554,,,,tibia,,1,table,,,Alectrosaurus olseni,species,57253,,Alectrosaurus olseni,species,57253,83.6,72.1,34423,112.01667,43.733334,CN,Nei Mongol,,estimated from map,minutes,outcrop,"S and W of ruins of telegraph station, about 1 km S of Erhlien; 200 yds S of camp at Iren Dabasu telegraph station; 2 specimens found 100 feet apart"
18649,spm,,487166,0,48847,CM 9780 (AMNH 5027),,,,femur,,1,table,,,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,72.1,66,34423,-106.455559,47.96389,US,Montana,Garfield,based on nearby landmark,seconds,small collection,"approximate location of Big Dry Post Office, now beneath Ft. Peck reservoir; E side of Big Dry Creek , 8 miles from John Willis Ranch, 25 miles S of Lismas"
18650,spm,,487166,0,48847,CM 9780 (AMNH 5027),,,,tibia,,1,table,,,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,72.1,66,34423,-106.455559,47.96389,US,Montana,Garfield,based on nearby landmark,seconds,small collection,"approximate location of Big Dry Post Office, now beneath Ft. Peck reservoir; E side of Big Dry Creek , 8 miles from John Willis Ranch, 25 miles S of Lismas"
18651,spm,,487166,0,48847,CM 9780 (AMNH 5027),,,,fibula,,1,table,,,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,72.1,66,34423,-106.455559,47.96389,US,Montana,Garfield,based on nearby landmark,seconds,small collection,"approximate location of Big Dry Post Office, now beneath Ft. Peck reservoir; E side of Big Dry Creek , 8 miles from John Willis Ranch, 25 miles S of Lismas"
18652,spm,,517548,0,52481,AMNH 5438,,,,femur,,1,table,,said to be 841 mm by Erickson et al. 2004,Daspletosaurus torosus,species,57258,,Daspletosaurus torosus,species,57258,83.6,72.1,34423,-111.616669,50.688,CA,Alberta,,based on nearby landmark,3,small collection,"R bank Sand Creek, 75 ft above river, near Red Deer River, Little Sandhill Creek basin"
