latitude,longitude,county
45.147804,88.900627,富蕴县 كوكتوعاي اۋدانى‎
51.615398,-112.865601,Division No. 5
19.106924,79.845581,Vemanpalle mandal
41.166668,106.083336,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
44.393677,109.35318,Улаанбадрах ᠤᠯᠠᠭᠠᠨᠪᠠᠳᠠᠷᠠᠬᠤ
50.742214,-111.565781,Division No. 2
-39.400002,-69.199997,Neuquén
50.759621,-111.503944,Division No. 2
44.127499,103.56472,Булган ᠪᠤᠯᠠᠭᠠᠨ
44.216667,103.26667,Булган ᠪᠤᠯᠠᠭᠠᠨ
-30.116928,-67.90126,San Juan
45.549999,22.916668,Hunedoara
49.351067,-110.558716,Division No. 1
-22.493889,31.061111,Vhembe District Municipality
-31.10111,-68.904999,San Juan
43.487499,101.125,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
43.144169,107.518059,Ханбогд ᠬᠠᠨᠪᠣᠭᠳᠤ
47.82,16.24,Niederösterreich
41.601398,120.8722,辽宁省
47.812222,-106.277779,Garfield County
44.0,104.0,Булган ᠪᠤᠯᠠᠭᠠᠨ
-39.235462,-68.807487,Neuquén
43.469444,100.386108,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
-28.73333,114.833298,Western Australia
50.823826,-111.604233,Division No. 4
-30.35,27.75,Quthing District
51.935501,-112.958298,Division No. 5
-38.900002,-69.550003,Neuquén
43.601665,100.456665,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
16.83333,6.53333,Tchirozérine
51.542702,-112.865601,Division No. 5
43.299999,99.599998,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
50.740726,-111.528732,Division No. 2
47.216702,17.6,Veszprém vármegye
41.7038,69.390282,Қазығұрт ауданы
-30.067778,-67.936386,San Juan
43.25,99.75,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
43.529167,101.044724,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
43.540001,99.599998,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
48.650002,9.5167,Landkreis Esslingen
-22.6675,144.600555,Queensland
35.94083,103.312798,永靖县
43.741669,112.183334,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
46.099998,85.666664,新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی
43.602501,100.455276,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
49.024723,11.983056,Landkreis Regensburg
44.837215,90.064598,奇台县
50.383301,10.55,Landkreis Hildburghausen
-39.555279,-70.153053,Neuquén
43.840302,113.715599,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
50.809383,-111.327057,Special Area No. 2
-31.291668,27.75,Chris Hani District Municipality
43.606697,6.106141,Var
-38.453194,-68.724556,Neuquén
-22.199722,142.52861,Queensland
50.73,-111.800003,County of Newell
43.86639,100.011108,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
-21.933332,-68.73333,Provincia de El Loa
-30.483334,137.21666,Pastoral Unincorporated Area
51.995834,-112.883331,County of Stettler
-9.704556,39.22842,Lindi
41.583332,97.666664,肃北蒙古族自治县 ᠰᠦᠪᠧᠢ ᠶᠢᠨ ᠮᠣᠩᠭᠣᠯ ᠦᠨᠳᠦᠰᠦᠲᠡᠨ ᠦ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠤ ᠰᠢᠶᠠᠨ
45.191288,88.919884,富蕴县 كوكتوعاي اۋدانى‎
43.83139,112.427498,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
47.574532,-106.757843,Garfield County
-9.675514,39.229034,Lindi
50.794621,-111.605766,Division No. 2
-9.711796,39.223774,Lindi
50.746067,-111.493225,Division No. 2
51.819099,-112.981903,Starland County
41.743919,106.744362,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
-29.683001,-53.799999,Rio Grande do Sul
-9.695653,39.231327,Lindi
52.252357,9.066053,Landkreis Schaumburg
51.469166,-2.616667,City of Bristol
50.752831,-111.514091,Division No. 2
50.749241,-111.471733,Special Area No. 2
25.816668,114.933334,江西省
41.497799,121.222801,辽宁省
50.750126,-111.488625,Division No. 2
44.156948,103.692329,Булган ᠪᠤᠯᠠᠭᠠᠨ
40.271702,105.75,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
51.900002,10.4833,Landkreis Goslar
-33.384998,25.250999,Sarah Baartman District Municipality
-38.916672,-69.059998,Neuquén
48.583332,102.066666,Хайрхан ᠬᠠᠶᠢᠷᠬᠠᠨ
-39.433887,-67.294998,Río Negro
31.2647,-6.5908,cercle d'Ouarzazate
-38.953888,-68.234169,Neuquén
50.466667,3.633333,Nord
50.74625,-111.474808,Division No. 2
-39.063889,-69.286942,Neuquén
-15.9,46.583332,Boeny
39.928898,98.500786,甘肃省
45.993664,23.570463,Alba
-44.76667,-69.183334,Chubut
45.845833,108.398613,Баянжаргалан ᠪᠠᠶ᠋ᠠᠨᠵᠢᠷᠭᠠᠯᠠᠩ
44.876457,89.183075,吉木萨尔县 جىمىسار ناھىيىسى
50.751526,-111.485008,Division No. 2
37.631302,-111.856903,Garfield County
-39.516388,-68.75,Río Negro
-37.378613,-69.073059,Neuquén
-29.219999,27.341667,Thabo Mofutsanyana District Municipality
42.022499,125.056801,清原满族自治县
-8.17,13.21,Bengo
16.3333,101.983299,
40.478401,98.111702,玉门市
37.177914,126.65641,
-9.710123,39.228096,Lindi
-43.783333,-68.833336,Chubut
40.301338,105.943283,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
50.781799,-111.596626,County of Newell
52.081001,-113.005203,Red Deer County
44.241501,102.733299,Богд
