occurrence_no,specimen_no,identified_name_x,identified_rank,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,longitude,latitude,Country,state,county,paleoage,paleolng,paleolat,paleolng2,paleolat2,paleolng3,paleolat3,formation,stratscale,lithology1,lithology2,environment,assembl_comps,pres_mode,preservation_quality,fragmentation,taxon_environment,motility,life_habit,vision,diet,reproduction,composition,specimen_id,is_type,specimen_part,n_measurements,identified_name_y,measurement_type,average
489976,13134.0,n. gen. Futalognkosaurus n. sp. dukei,species,Futalognkosaurus dukei,species,Late Turonian,Early Coniacian,93.9,86.3,Chordata,Saurischia,Sauropod,Sauropodidae,Futalognkosaurus,-68.724556,-38.453194,AR,Neuquén,,mid,-39.15,-39.31,-47.17,-44.38,-38.82,-42.85,Portezuelo,bed,conglomerate,sandstone,channel lag,"macrofossils,mesofossils",body,good,occasional,terrestrial,facultatively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,MUCPv 323,holotype,pubis,1.0,Futalognkosaurus dukei,length,0.137
475222,18568.0,n. gen. Elaphrosaurus n. sp. bambergi,species,Elaphrosaurus bambergi,species,Late Kimmeridgian,,152.2,149.2,Chordata,Reptilia,Theropoda,Noasauridae,Elaphrosaurus,39.228348,-9.681635,TZ,Lindi,,mid,31.29,-37.95,16.71,-29.39,22.29,-41.45,Tendaguru,bed,marl,marl,estuary/bay,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,HMN dd,,femur,1.0,Elaphrosaurus bambergi,length,519.0
475222,18568.0,n. gen. Elaphrosaurus n. sp. bambergi,species,Elaphrosaurus bambergi,species,Late Kimmeridgian,,152.2,149.2,Chordata,Reptilia,Theropoda,Noasauridae,Elaphrosaurus,39.228348,-9.681635,TZ,Lindi,,mid,31.29,-37.95,16.71,-29.39,22.29,-41.45,Tendaguru,bed,marl,marl,estuary/bay,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,HMN dd,,femur,1.0,Elaphrosaurus bambergi,circumference,165.0
475222,18569.0,n. gen. Elaphrosaurus n. sp. bambergi,species,Elaphrosaurus bambergi,species,Late Kimmeridgian,,152.2,149.2,Chordata,Reptilia,Theropoda,Noasauridae,Elaphrosaurus,39.228348,-9.681635,TZ,Lindi,,mid,31.29,-37.95,16.71,-29.39,22.29,-41.45,Tendaguru,bed,marl,marl,estuary/bay,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,HMN dd,,tibia,1.0,Elaphrosaurus bambergi,length,608.0
475222,18569.0,n. gen. Elaphrosaurus n. sp. bambergi,species,Elaphrosaurus bambergi,species,Late Kimmeridgian,,152.2,149.2,Chordata,Reptilia,Theropoda,Noasauridae,Elaphrosaurus,39.228348,-9.681635,TZ,Lindi,,mid,31.29,-37.95,16.71,-29.39,22.29,-41.45,Tendaguru,bed,marl,marl,estuary/bay,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,HMN dd,,tibia,1.0,Elaphrosaurus bambergi,circumference,132.0
485130,18592.0,n. gen. Laelaps n. sp. aquilunguis,species,Dryptosaurus aquilunguis,species,Late Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Dryptosauridae,Dryptosaurus,-75.160278,39.732777,US,New Jersey,Gloucestershire,mid,-38.49,41.13,-51.06,40.28,-49.87,39.92,New Egypt,bed,sandstone,marl,terrestrial indet.,macrofossils,body,medium,extreme,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,ANSP 9995,holotype,fibula,1.0,Laelaps aquilunguis,length,787.0
485130,18592.0,n. gen. Laelaps n. sp. aquilunguis,species,Dryptosaurus aquilunguis,species,Late Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Dryptosauridae,Dryptosaurus,-75.160278,39.732777,US,New Jersey,Gloucestershire,mid,-38.49,41.13,-51.06,40.28,-49.87,39.92,New Egypt,bed,sandstone,marl,terrestrial indet.,macrofossils,body,medium,extreme,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,ANSP 9995,holotype,fibula,1.0,Laelaps aquilunguis,circumference,270.0
485130,18593.0,n. gen. Laelaps n. sp. aquilunguis,species,Dryptosaurus aquilunguis,species,Late Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Dryptosauridae,Dryptosaurus,-75.160278,39.732777,US,New Jersey,Gloucestershire,mid,-38.49,41.13,-51.06,40.28,-49.87,39.92,New Egypt,bed,sandstone,marl,terrestrial indet.,macrofossils,body,medium,extreme,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,ANSP 9995,holotype,tibia,1.0,Laelaps aquilunguis,length,830.0
485130,18593.0,n. gen. Laelaps n. sp. aquilunguis,species,Dryptosaurus aquilunguis,species,Late Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Dryptosauridae,Dryptosaurus,-75.160278,39.732777,US,New Jersey,Gloucestershire,mid,-38.49,41.13,-51.06,40.28,-49.87,39.92,New Egypt,bed,sandstone,marl,terrestrial indet.,macrofossils,body,medium,extreme,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,ANSP 9995,holotype,tibia,1.0,Laelaps aquilunguis,circumference,258.0
536124,18594.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,fibula,1.0,Tanycolagreus topwilsoni,circumference,64.0
536124,18594.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,fibula,1.0,Tanycolagreus topwilsoni,length,210.0
536124,18595.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,tibia,1.0,Tanycolagreus topwilsoni,circumference,41.0
536124,18595.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,tibia,1.0,Tanycolagreus topwilsoni,length,165.0
536124,18596.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,fibula,1.0,Tanycolagreus topwilsoni,circumference,24.0
536124,18596.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,fibula,1.0,Tanycolagreus topwilsoni,length,162.0
513562,18597.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,femur,1.0,Anserimimus planinychus,length,433.0
513562,18597.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,femur,1.0,Anserimimus planinychus,circumference,145.0
513562,18598.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,tibia,1.0,Anserimimus planinychus,length,472.0
