occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement,genus.1
139242,occ,24752.0,,11890,Gorgosaurus n. sp. sternbergi,species,63900,subjective synonym of,Gorgosaurus libratus,,species,53194,Late Campanian,,83.6,72.1,Matthew and Brown,1922.0,13165,Chordata,Reptilia,Theropoda,Tyrannosauridae,Gorgosaurus,,,1.0,specimens,-111.528732,50.740726,,"RTMP Quarry 6, Sand Creek [AMNH]",,Sternberg Quarry 54,CA,Alberta,,estimated from map,6,local area,"near Steveville, Alberta (now Dinosaur Provincial Park); Sand Creek; NW 1/4, sec 31, T20, R11, LSD 4.  Coordinates estimated from map in Sternberg 1950.",gplates,101,mid,-65.72,60.93,scotese,101,mid,-75.82,59.05,seton,101,mid,-79.36,55.78,CA,,Dinosaur Park,Belly River,,bed,,,,,,Dinosaur Park,4.135,m,bottom to top,originally assigned to the Oldman Fm.,,sandstone,,,,Y,,,,,,"""channel""",,,macrofossils,many,,,,,,,body,good,,snapshot,,dispersed,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",AMNH,,,,C. H. Sternberg,1917,,,terrestrial,,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,,,Gorgosaurus
260040,occ,,,25147,Acrocanthosaurus atokensis,species,55482,,Acrocanthosaurus atokensis,,species,55482,Aptian,,121.4,113.0,Currie and Carpenter,2000.0,7057,Chordata,Reptilia,Theropoda,Carcharodontosauridae,Acrocanthosaurus,,,1.0,individuals,-94.826385,33.895557,OMNH 10168 + NCSM 14345,Idabel (PROXY),,,US,Oklahoma,McCurtain,based on political unit,seconds,small collection,"unspecified locality near Idabel, McCurtain Co., OK.",gplates,101,mid,-35.83,36.02,scotese,101,mid,-48.09,31.29,seton,101,mid,-42.49,28.45,US,,Antlers,Trinity,,bed,,,,,,,,,,"""lower part of formation""",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,many,,,,,,,body,excellent,autochthonous,snapshot,,,life position,,,occasional,,,,taxonomic,"selective quarrying,mechanical,field collection",,,1 individuals,,OMNH; C. Hall & S. Love,,"Collection of single individual made on two occasions, once by the Oklahoma Natural History Museum (OMNH 10168) and the remainder by Cephis Hall and Sid Love (NCSM 14345).",,terrestrial,,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,,,Acrocanthosaurus
402864,occ,,,24883,n. gen. Shunosaurus n. sp. lii,species,56457,,Shunosaurus lii,,species,56457,Bajocian,Oxfordian,170.9,154.8,Dong et al.,1983.0,17258,Chordata,Saurischia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Shunosaurus,,,6.0,individuals,104.852501,29.411388,"ZDM L033, L034, 5006, T5401–5403",Dashanpu Dinosaur Quarry [lower],,Dashanpu Town,CN,Sichuan,Zigong,estimated from map,seconds,outcrop,"Dashanpu quarry, 10 km NE of Zigong, Sichuan, China",gplates,611,mid,120.57,32.23,scotese,611,mid,109.43,28.97,seton,602,mid,118.35,41.89,CN,,Shaximiao,,Lower,bed,,,,,,,,,,"Based on detrital zircon U-Pb dating from this formation (but not this locality), Wang et al. (2018) suggested an Oxfordian age for the lower beds, rather than Middle Jurassic, with 159 ± 2 Ma as the maximum depositional age. However, from a section near the Dashanpu Dinosaur Quarry, Ren et al. (2022) documented the youngest age for the zircon sample as 166.0 ± 1.59 Ma, and weighed average ages of the youngest subpopulation under the constraints of 1σ and 2σ are 170.9 ± 0.64 Ma and 169.9 ± 0.63 Ma, with a maximum confidence age of 169.9 ± 0.63 Ma selected as the final result.","""micro-grained feldspatholithic sandstone, which is rich in mica fragments, matrix interstitial. Wave-ripple cross bedding, micro-wavy bedding and medium- to large-scale tabular cross bedding are clearly seen.""  ",sandstone,"tabular,wave ripples,wavy/flaser/lenticular bedding,burrows,micaceous",,,Y,mudstone,blue,,,,lacustrine indet.,,"""a lake-shore shallow-bank deposit under low energy conditions""","macrofossils,mesofossils",many,many,,,,,,body,good,parautochthonous,snapshot,concentrate,concentrated,life position,common,,occasional,,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,,,,,"1972, 1974, 1977–1984",,,terrestrial,,actively mobile,"ground dwelling, gregarious",,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,thick,,Shunosaurus
459064,occ,,,45192,n. gen. Sinraptor n. sp. dongi,species,54821,,Sinraptor dongi,,species,54821,Oxfordian,,161.5,154.8,Currie and Zhao,1994.0,9255,Chordata,Reptilia,Theropoda,Metriacanthosauridae,Sinraptor,,,1.0,individuals,90.046516,44.802925,,"Sinraptor type, Jiangjunmiao NE (CCDP)",,,CN,Xinjiang,,based on political unit,6,small collection,"25 km NE of Jiangjunmiao, Xinjiang",gplates,401,mid,93.8,48.79,scotese,401,mid,92.55,46.6,seton,301,mid,90.14,52.12,CN,,Shishugou,,Upper,bed,,,,,,,,,,65 m above contact with underlying Wucaiwan Formation,"""sandstones, siltstones, mudstones, and minor lenses of limestone""",sandstone,,,,,mudstone,,,,,fluvial indet.,,"""laid down in alluvial, fluvial, or lacustrine environments...wide, shallow, meandering, mixed-load streams of low gradient.""",macrofossils,,,,,,,,body,excellent,autochthonous,snapshot,,dispersed,,,,occasional,,none,,taxonomic,"selective quarrying,mechanical,field collection",IVPP,,,,CCDP,1987-1988,,,terrestrial,,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,,,Sinraptor
471836,occ,,,25074,n. gen. Rahona n. sp. ostromi,species,64131,recombined as,Rahonavis ostromi,,species,64131,Maastrichtian,,72.1,66.0,Forster et al.,1998.0,12456,Chordata,Reptilia,Theropoda,Dromaeosauridae,Rahonavis,,,1.0,individuals,46.583332,-15.9,,MAD93-18 (SUNY),,,MG,Mahajanga,,based on political unit,minutes,small collection,"Mahajanga Basin, near village of Berivotra, Madagascar. Coordinates are for Berivotra.",gplates,702,mid,43.76,-36.56,scotese,702,mid,38.33,-29.99,seton,702,mid,41.05,-28.54,MG,,Maevarano,,Anembalemba,group of beds,,,,,,,,,,"three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections",,sandstone,,,,Y,,,,,,"""channel""",,"""shallow and very broad channel-belt system characterized by an ephemeral and flood-prone discharge regime.""",macrofossils,,,,,arthropod boring,,,"body,trace",excellent,parautochthonous,,,#NAME?,,,,occasional,,,,taxonomic,"selective quarrying,mechanical,field collection",FMNH,"some genera,some macrofossils,species names",,,D. Krause & crews,"1993, 1995, 1997, 1999, 2001, 2004, 2007","Faunal list from formation includes ""fishes, frogs, turtles, snakes, lizards, crocodiles, sauropod and non-avian theropod dinosaurs, and mammals"", but these are certainly not all from site MAD 93-18. The site is productive and does contain many other taxa, but these were collected at other times, and are not listed in this paper - other papers need to be consulted.",,terrestrial,,actively mobile,ground dwelling,,carnivore,oviparous,"accretion,modification of parts",,hydroxyapatite,compact or dense,,,Rahonavis
486494,occ,13282.0,,48722,n. gen. Hungarosaurus n. sp. tormai,species,66856,,Hungarosaurus tormai,,species,66856,Santonian,,86.3,83.6,Osi,2005.0,14093,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Nodosauridae,Hungarosaurus,,,600.0,specimens,17.6,47.216702,MNI = 5,"Iharkút mine, Bakony mountains (Unit 1)",,"Németbánya, Iharkut, SZ-6",HU,Veszprém,,based on nearby landmark,4,outcrop,"NE side of an open-pit bauxite mine, Iharkút,Veszprém County, Bakony Mtns., Transdanubian Range, western Hungary. An open-pit bauxite mine in the location of the former village of Iharkút in the Bakony Mountains, Veszprém county, western Hungary (Rabi et al. 2012). Note that not all of the fossils are from the same spot in the mine, but all are from the same stratigraphic level. Includes all the Unit 1 sites, e.g. SZ-6 (S part of the open pit).",gplates,308,mid,28.84,30.99,scotese,not computable using this model,mid,,,seton,336,mid,19.01,40.25,HU,,Csehbánya,,,group of beds,,,,,,,,,,"two bone-bearing beds within section, approx. 0.5 m apart","""The Csehbánya Formation consists of variegated clay and sandstone beds...The fauna is concentrated near the top of the outcrop in 20 cm thick sandy clay, sandstone bed...Most of the fossils derived from 5 cm thick sandy clay layer below the sandstone. Other teeth and bones occur disordered on the surface of the sandstone bed and are covered with clay less than 1 cm thick.""\r\n""The vertebrate-bearing beds form 2–3 m thick cyclical units beginning with green clay covered by breccia containing clay clasts, sandstone and siltstone layers (Tuba et al. 2006). Most of the material, including the turtles comes from the matrix supported breccia consisting of ripped-up variegated clay clasts, dolomite pebbles, carbonized plant remains and sand forming channel-like structures with the isolated bones accumulated in lenses"" (Rabi et al. 2012)\r\nSZ-6: ""a 10–50-cm-thick basal breccia layer composed of gray-green sand, siltstone, clay clasts, and pebbles. The poorly sorted sandy breccia is interrupted by laminated siltstone horizons; these coarse- and fine-grained layers are repeated several times resulting in a stacked fining-upward series of units.""",claystone,green,,sandy,Y,sandstone,"pebbly,gray,green",,argillaceous,Y,crevasse splay,,"""deposited in an alluvial plain""; fossils ""are buried in mud- and sand-filled channel deposits""\r\n""The palaeoenvironment is interpreted as an alluvial plain and the deposition of the breccia could be the result of the episodic filling of a channel or pond by debris flows, silt and sand"" (Osi & Mindszenty, 2009).\r\n""a flash-flood sequence deposition, which started with a high flow regime characterized by sandstone and clay clasts, whereas the siltstone layers are indicative of waning flow velocity and deposition from suspension in standing water, following the minor flow pulse. Along with its taphonomic characteristics, this sedimentology suggests that Unit 1 was deposited by ephemeral high-density flash-flood events probably triggered by episodic heavy rainfalls."" (Prondvai et al. 2017)","macrofossils,mesofossils",,,,,,,,body,medium,,time-averaged,concentrate,concentrated,,,,occasional,,,,general faunal/floral,"bulk,selective quarrying,surface (float),surface (in situ),sieve,field collection",,,410 specimens,,A. Osi et al.,2000–present,,Fragmentary turtle plates are among the most abundant remains at the site.,terrestrial,,actively mobile,"ground dwelling, gregarious",,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,,,Hungarosaurus
487793,occ,,,49047,n. gen. Tugulusaurus n. sp. faciles,species,65209,,Tugulusaurus faciles,,species,65209,Late Aptian,Albian,119.5,100.5,Dong,1973.0,13379,Chordata,Reptilia,Theropoda,NO_FAMILY_SPECIFIED,Tugulusaurus,,,1.0,individuals,85.792046,46.043884,,"Wuerho, IVPP site 64041",,,CN,Xinjiang,,estimated from map,6,small collection,Wuerho area,gplates,402,mid,99.82,40.23,scotese,402,mid,83.01,44.29,seton,301,mid,88.79,50.49,CN,,Lianmuqin,Tugulu,,group of beds,,,,,,,,,,lower part of formation,"""gray sandy mudstones and light green-gray sandstones""",mudstone,gray,,sandy,Y,sandstone,"gray,green",,,Y,lacustrine indet.,,"""Tugulu Group deposition took place in and around a large inland lake that formed in the Junggur basin under a subtropical to tropical climate"" (Lucas, 2001).\r\n","macrofossils,mesofossils",,,,,,,,body,poor,,,,,,,,extreme,,,,taxonomic,"surface (float),surface (in situ),mechanical,field collection",IVPP,,,,,1964,,,terrestrial,,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,,,Tugulusaurus
489802,occ,,,49356,n. gen. Alectrosaurus n. sp. olseni,species,57253,,Alectrosaurus olseni,,species,57253,Middle Campanian,Late Campanian,83.6,72.1,Gilmore,1933.0,13061,Chordata,Reptilia,Theropoda,NO_FAMILY_SPECIFIED,Alectrosaurus,,,1.0,individuals,112.01667,43.733334,AMNH 6554,"AMNH quarry 136, Iren Dabasu",,"Erlian, Ehrlien, site B, CAE",CN,Nei Mongol,,estimated from map,minutes,outcrop,"S and W of ruins of telegraph station, about 1 km S of Erhlien; 200 yds S of camp at Iren Dabasu telegraph station; 2 specimens found 100 feet apart",gplates,628,mid,106.4,40.35,scotese,628,mid,101.38,41.88,seton,417,mid,112.56,47.94,CN,,Iren Dabasu,,,bed,,,,,,,,,,The Iren Dabasu Formation is Early-Middle Campanian according to Xing et al. (2012),,not reported,,,,,,,,,,fluvial-lacustrine indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"surface (in situ),field collection",,,,,CAE,1923,coll. G. Olsen and others,,terrestrial,,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,,,Alectrosaurus
513266,occ,,,51919,n. gen. Planicoxa n. sp. venenica,species,66518,,Planicoxa venenica,,species,66518,Aptian,,121.4,113.0,DiCroce and Carpenter,2001.0,13849,Chordata,Ornithischia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Planicoxa,,,1.0,individuals,-109.470901,38.8293,DMNH 42504,Tony's Bone Bed (DMNS 2182),,Tony's Bonebed,US,Utah,Grand,estimated from map,4,small collection,N of Arches NP and Moab,gplates,101,mid,-48.76,44.13,scotese,133,mid,-63.85,39.23,seton,101,mid,-54.04,36.74,US,FED,Cedar Mountain,Dakota,Poison Strip Sandstone,bed,,,,,,,,,,3.75 m below top of member\r\n\r\nLudvigson et al. 2010: U-Pb dates from near the base were approximately 119.4 +/- 2.6Ma,"""medium- to corase-grained sandstone, and contains lenses of greenish mudstone...The bones occur in the interface between gray lacustrine limestone and overlying greenish mudstone. Evidence of pedogenesis (e.g., red-green mottling, calcareous nodules, possible rhizoliths) occurs in the upper part of the mudstone.""","""limestone""",gray,,,Y,mudstone,"lenticular,green",,,,lacustrine indet.,,"""a meandering river complex"" with lakes",macrofossils,,,,,,,,body,variable,parautochthonous,time-averaged,concentrate,#NAME?,preferred,,poor,occasional,,,"some bones weathered and trampled, but others in good condition. Nothing articulated. Weak bimodal orientation of long bones, but no evidence of transport. Death presumed to have occurred over a period of time.",taxonomic,"selective quarrying,mechanical,field collection",DMNH,,,,T. DiCroce,1998,,,terrestrial,,actively mobile,"ground dwelling, gregarious",,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,,,Planicoxa
517989,occ,22333.0,,52552,n. gen. Eustreptospondylus n. sp. oxoniensis,species,53377,,Eustreptospondylus oxoniensis,,species,53377,Late Callovian,,165.3,161.5,Walker,1964.0,13771,Chordata,Reptilia,Megalosauridae,NO_FAMILY_SPECIFIED,Eustreptospondylus,,,1.0,individuals,-1.287778,51.782223,,"Summertown Pit, Wolvercote (OUM)",,Eustreptospondylus type,UK,England,Oxfordshire,based on nearby landmark,seconds,small collection,"Wolvercot (Wolvercote), Sommertown Pit, SE England",gplates,315,mid,17.91,35.09,scotese,315,mid,8.8,41.83,seton,331,mid,18.52,29.1,UK,,Oxford Clay,Ancholme,Stewartby,bed,Peltoceras athleta,,,,,,,,,P. athleta Zone,,claystone,,,,Y,,,,,,marine indet.,,,"macrofossils,mesofossils",,,,,,,,body,good,allochthonous,snapshot,,dispersed,,rare,,occasional,,,"specimen entered ocean as complete carcass, but not seriously scavenged",taxonomic,"selective quarrying,mechanical,field collection,survey of museum collection",,,,,W. Parker,1870,,,terrestrial,,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",,hydroxyapatite,compact or dense,,,Eustreptospondylus
